Plate Number,Date In,Date Out,Time In,Time Out
QVR 222,2017-02-13,2017-02-24,2:46 PM,12:32 PM
RTTU 221,2017-02-13,2017-02-21,11:09 PM,4:23 AM
YNER 420,2017-02-17,2017-02-19,11:20 AM,2:39 PM
VNB 782,2017-02-14,2017-02-17,2:27 AM,8:33 PM
RTTU 221,2017-02-10,2017-02-13,3:33 AM,9:46 PM
DVRF 873,2017-01-28,2017-02-10,1:30 PM,3:45 PM
BYUG 776,2017-02-03,2017-02-05,11:00 AM,12:35 AM
JA50N,2017-02-01,2017-02-01,1:23 PM,2:25 PM
DVRF 873,2017-01-19,2017-01-28,5:45 PM,2:18 PM
VNB 782,2017-01-14,2017-01-27,5:22 PM,12:13 PM
YNER 420,2017-01-19,2017-01-22,1:56 PM,3:35 PM
BYUG 776,2016-12-27,2017-01-21,10:42 AM,9:08 PM
JA50N,2017-01-12,2017-01-17,8:45 PM,11:30 AM
YNER 420,2017-01-03,2017-01-10,2:45 PM,3:20 PM
BYUG 776,2016-12-19,2017-01-03,1:38 PM,2:48 AM
FGQ 760,2016-12-09,2016-12-19,1:28 AM,12:26 PM
ERE 441,2016-12-16,2016-12-17,6:26 AM,2:09 PM
WHBR 565,2016-12-09,2016-12-13,1:25 PM,11:10 AM
ERE 441,2016-12-08,2016-12-10,7:55 AM,12:47 PM
JA50N,2016-12-09,2016-12-10,11:39 PM,12:20 AM
ERE 441,2016-08-26,2016-12-06,1:22 PM,11:38 AM
FGQ 760,2016-11-28,2016-12-03,2:46 PM,3:22 AM
DVRF 873,2016-11-17,2016-11-18,12:30 PM,1:30 AM
QVR 222,2016-11-06,2016-11-16,2:46 PM,12:32 PM
RTTU 221,2016-11-02,2016-11-12,11:09 PM,4:23 AM
YNER 420,2016-11-05,2016-11-09,11:20 AM,2:39 PM
VNB 782,2016-10-28,2016-11-03,2:27 AM,8:33 PM
RTTU 221,2016-10-19,2016-10-28,3:33 AM,9:46 PM
DVRF 873,2016-10-16,2016-10-27,1:30 PM,3:45 PM
BYUG 776,2016-10-17,2016-10-25,11:00 AM,12:35 AM
JA50N,2016-10-19,2016-10-22,1:23 PM,2:25 PM
DVRF 873,2016-10-16,2016-10-19,5:45 PM,2:18 PM
VNB 782,2016-10-17,2016-10-18,5:22 PM,12:13 PM
YNER 420,2016-10-09,2016-10-14,1:56 PM,3:35 PM
BYUG 776,2016-10-10,2016-10-11,10:42 AM,9:08 PM
JA50N,2016-10-08,2016-10-09,8:45 PM,11:30 AM
